year,driverId,country
1950,642,Italy
1951,579,Argentina
1952,647,Italy
1953,647,Italy
1954,579,Argentina
1955,579,Argentina
1956,579,Argentina
1957,579,Argentina
1958,578,United Kingdom
1959,101,Australia
1960,101,Australia
1961,403,United States of America
1962,289,United Kingdom
1963,373,United Kingdom
1964,341,United Kingdom
1965,373,United Kingdom
1966,101,Australia
1967,304,Australia
1968,289,United Kingdom
1969,328,United Kingdom
1970,358,Austria
1971,328,United Kingdom
1972,224,Brazil
1973,328,United Kingdom
1974,224,Brazil
1975,182,Austria
1976,231,United Kingdom
1977,182,Austria
1978,207,United States of America
1979,222,South Africa
1980,178,Australia
1981,137,Brazil
1982,177,Finland
1983,137,Brazil
1984,182,Austria
1985,117,France
1986,117,France
1987,137,Brazil
1988,102,Brazil
1989,117,France
1990,102,Brazil
1991,102,Brazil
1992,95,United Kingdom
1993,117,France
1994,30,Germany
1995,30,Germany
1996,71,United Kingdom
1997,35,Canada
1998,57,Finland
1999,57,Finland
2000,30,Germany
2001,30,Germany
2002,30,Germany
2003,30,Germany
2004,30,Germany
2005,4,Spain
2006,4,Spain
2007,8,Finland
2008,1,United Kingdom
2009,18,United Kingdom
2010,20,Germany
2011,20,Germany
2012,20,Germany
2013,20,Germany
2014,1,United Kingdom
2015,1,United Kingdom
2016,3,Germany
2017,1,United Kingdom
2018,1,United Kingdom
2019,1,United Kingdom
2020,1,United Kingdom
2021,830,Netherlands
2022,830,Netherlands
